"variable","iso3c","year","value","indicator_sdg"
"SI.POV.DDAY","BGD",2024,8.3226,"1.1.1"
"SI.POV.DDAY","BGD",2025,9.0316,"1.1.1"
"SI.POV.DDAY","BGR",2010,5.2,"1.1.1"
"SI.POV.DDAY","BGR",2011,5.6,"1.1.1"
"SI.POV.DDAY","BGR",2012,5.7,"1.1.1"
"SI.POV.DDAY","BGR",2013,5.6,"1.1.1"
"SI.POV.DDAY","BGR",2014,4.7,"1.1.1"
"SI.POV.DDAY","BGR",2015,4.6,"1.1.1"
"SI.POV.DDAY","BGR",2016,3.1,"1.1.1"
"SI.POV.DDAY","BGR",2017,2,"1.1.1"
"SI.POV.DDAY","BGR",2018,1.5,"1.1.1"
"SI.POV.DDAY","BGR",2019,1.6,"1.1.1"
"SI.POV.DDAY","BGR",2020,0.7,"1.1.1"
"SI.POV.DDAY","BGR",2021,1.2,"1.1.1"
"SI.POV.DDAY","BGR",2022,1.1,"1.1.1"
"SI.POV.DDAY","BGR",2023,1,"1.1.1"
"SI.POV.DDAY","BGR",2024,1,"1.1.1"
"SI.POV.DDAY","BGR",2025,0.9,"1.1.1"
"SI.POV.DDAY","BIH",2010,0.8,"1.1.1"
"SI.POV.DDAY","BIH",2011,0.9,"1.1.1"
"SI.POV.DDAY","BIH",2012,0.9,"1.1.1"
"SI.POV.DDAY","BIH",2013,0.8,"1.1.1"
"SI.POV.DDAY","BIH",2014,0.8,"1.1.1"
"SI.POV.DDAY","BIH",2015,0.8,"1.1.1"
"SI.POV.DDAY","BIH",2016,0.8,"1.1.1"
"SI.POV.DDAY","BIH",2017,0.7,"1.1.1"
"SI.POV.DDAY","BIH",2018,0.7,"1.1.1"
"SI.POV.DDAY","BIH",2019,0.7,"1.1.1"
"SI.POV.DDAY","BIH",2020,0.7,"1.1.1"
"SI.POV.DDAY","BIH",2021,0.6,"1.1.1"
"SI.POV.DDAY","BIH",2022,0.5,"1.1.1"
"SI.POV.DDAY","BIH",2023,0.4,"1.1.1"
"SI.POV.DDAY","BIH",2024,0.4,"1.1.1"
"SI.POV.DDAY","BIH",2025,0.4,"1.1.1"
"SI.POV.DDAY","BLR",2010,0.2,"1.1.1"
"SI.POV.DDAY","BLR",2011,0.1,"1.1.1"
"SI.POV.DDAY","BLR",2012,0.1,"1.1.1"
"SI.POV.DDAY","BLR",2013,0,"1.1.1"
"SI.POV.DDAY","BLR",2014,0,"1.1.1"
"SI.POV.DDAY","BLR",2015,0,"1.1.1"
"SI.POV.DDAY","BLR",2016,0,"1.1.1"
"SI.POV.DDAY","BLR",2017,0,"1.1.1"
"SI.POV.DDAY","BLR",2018,0,"1.1.1"
"SI.POV.DDAY","BLR",2019,0,"1.1.1"
"SI.POV.DDAY","BLR",2020,0,"1.1.1"
"SI.POV.DDAY","BLR",2021,0,"1.1.1"
"SI.POV.DDAY","BLR",2022,0,"1.1.1"
"SI.POV.DDAY","BLR",2023,0,"1.1.1"
"SI.POV.DDAY","BLR",2024,0,"1.1.1"
"SI.POV.DDAY","BLR",2025,0,"1.1.1"
"SI.POV.DDAY","BLZ",2010,1.1,"1.1.1"
"SI.POV.DDAY","BLZ",2011,1.2,"1.1.1"
"SI.POV.DDAY","BLZ",2012,1.1,"1.1.1"
"SI.POV.DDAY","BLZ",2013,1,"1.1.1"
"SI.POV.DDAY","BLZ",2014,0.9,"1.1.1"
"SI.POV.DDAY","BLZ",2015,0.9,"1.1.1"
"SI.POV.DDAY","BLZ",2016,0.9,"1.1.1"
"SI.POV.DDAY","BLZ",2017,1,"1.1.1"
"SI.POV.DDAY","BLZ",2018,1,"1.1.1"
"SI.POV.DDAY","BLZ",2019,0.9,"1.1.1"
"SI.POV.DDAY","BLZ",2020,1.5,"1.1.1"
"SI.POV.DDAY","BLZ",2021,1,"1.1.1"
"SI.POV.DDAY","BLZ",2022,0.6468,"1.1.1"
"SI.POV.DDAY","BLZ",2023,0.6468,"1.1.1"
"SI.POV.DDAY","BLZ",2024,0.6468,"1.1.1"
"SI.POV.DDAY","BLZ",2025,0.6468,"1.1.1"
"SI.POV.DDAY","BOL",2010,8.8,"1.1.1"
"SI.POV.DDAY","BOL",2011,6.9,"1.1.1"
"SI.POV.DDAY","BOL",2012,7.9,"1.1.1"
"SI.POV.DDAY","BOL",2013,6.7,"1.1.1"
"SI.POV.DDAY","BOL",2014,5.6,"1.1.1"
"SI.POV.DDAY","BOL",2015,6.2,"1.1.1"
"SI.POV.DDAY","BOL",2016,7.2,"1.1.1"
"SI.POV.DDAY","BOL",2017,6.4,"1.1.1"
"SI.POV.DDAY","BOL",2018,4.7,"1.1.1"
"SI.POV.DDAY","BOL",2019,3.1386,"1.1.1"
"SI.POV.DDAY","BOL",2020,4.2469,"1.1.1"
"SI.POV.DDAY","BOL",2021,3.0547,"1.1.1"
"SI.POV.DDAY","BOL",2022,3.2671,"1.1.1"
"SI.POV.DDAY","BOL",2023,2.8175,"1.1.1"
"SI.POV.DDAY","BOL",2024,2.0502,"1.1.1"
"SI.POV.DDAY","BOL",2025,3.2697,"1.1.1"
"SI.POV.DDAY","BRA",2010,7.2,"1.1.1"
"SI.POV.DDAY","BRA",2011,6.7,"1.1.1"
"SI.POV.DDAY","BRA",2012,6.4,"1.1.1"
"SI.POV.DDAY","BRA",2013,5.4,"1.1.1"
"SI.POV.DDAY","BRA",2014,4.8,"1.1.1"
"SI.POV.DDAY","BRA",2015,5.4,"1.1.1"
"SI.POV.DDAY","BRA",2016,6.5,"1.1.1"
"SI.POV.DDAY","BRA",2017,7,"1.1.1"
"SI.POV.DDAY","BRA",2018,6.9,"1.1.1"
"SI.POV.DDAY","BRA",2019,7.0329,"1.1.1"
"SI.POV.DDAY","BRA",2020,2.7664,"1.1.1"
"SI.POV.DDAY","BRA",2021,7.4587,"1.1.1"
"SI.POV.DDAY","BRA",2022,4.8537,"1.1.1"
"SI.POV.DDAY","BRA",2023,3.8031,"1.1.1"
"SI.POV.DDAY","BRA",2024,3.0075,"1.1.1"
"SI.POV.DDAY","BRA",2025,2.9762,"1.1.1"
"SI.POV.DDAY","BRB",2010,1.5,"1.1.1"
"SI.POV.DDAY","BRB",2011,1.5,"1.1.1"
"SI.POV.DDAY","BRB",2012,1.6,"1.1.1"
"SI.POV.DDAY","BRB",2013,1.6,"1.1.1"
"SI.POV.DDAY","BRB",2014,1.6,"1.1.1"
"SI.POV.DDAY","BRB",2015,1.6,"1.1.1"
"SI.POV.DDAY","BRB",2016,1.6,"1.1.1"
"SI.POV.DDAY","BRB",2017,1.6,"1.1.1"
"SI.POV.DDAY","BRB",2018,1.6,"1.1.1"
"SI.POV.DDAY","BRB",2019,1.6,"1.1.1"
"SI.POV.DDAY","BRB",2020,1.7,"1.1.1"
"SI.POV.DDAY","BRB",2021,1.7,"1.1.1"
"SI.POV.DDAY","BRB",2022,1.5954,"1.1.1"
"SI.POV.DDAY","BRB",2023,1.5337,"1.1.1"
"SI.POV.DDAY","BRB",2024,1.4686,"1.1.1"
