"year","region","rate","pop"
1989,"Middle East, North Africa, Afghanistan & Pakistan",34.8490835364436,372625494.60146
1989,"North America",0.549658400609623,274152910
1989,"South Asia",51.2424585321885,991571016
1989,"Sub-Saharan Africa",59.7173655564265,507001395
1990,"East Asia & Pacific",64.2586279472426,1818051869
1990,"Europe & Central Asia",4.77710341088507,845290251
1990,"Latin America & Caribbean",18.3008709178302,440958144
1990,"Middle East, North Africa, Afghanistan & Pakistan",34.1186392861998,383279026
1990,"North America",0.539834009740367,277371697
1990,"South Asia",49.2692362427341,1013297018
1990,"Sub-Saharan Africa",59.7724979795698,521314712
1991,"East Asia & Pacific",62.8905990443781,1844468157
1991,"Europe & Central Asia",5.39823107407273,849169384
1991,"Latin America & Caribbean",17.8390083263361,449128999
1991,"Middle East, North Africa, Afghanistan & Pakistan",31.931234576859,394251647
1991,"North America",0.549776066154596,281076404
1991,"South Asia",49.179610140628,1035058149
1991,"Sub-Saharan Africa",60.5282366502834,535621670
1992,"East Asia & Pacific",61.0897800744525,1869371361
1992,"Europe & Central Asia",6.1688336624663,852664500
1992,"Latin America & Caribbean",17.8678259081751,457245250
1992,"Middle East, North Africa, Afghanistan & Pakistan",28.7834038793036,405847278
1992,"North America",0.489944813478591,284943671
1992,"South Asia",47.4299415111273,1057074570
1992,"Sub-Saharan Africa",61.1632509372666,550274082
1993,"East Asia & Pacific",59.1163607757083,1893559445
1993,"Europe & Central Asia",6.60368100913151,855554221
1993,"Latin America & Caribbean",18.0527647802696,465325731
1993,"Middle East, North Africa, Afghanistan & Pakistan",28.8669678091647,417150344
1993,"North America",0.539650701937189,288662580
1993,"South Asia",45.4013851491882,1079256381
1993,"Sub-Saharan Africa",61.869035403933,565570780
1994,"East Asia & Pacific",55.0192653406527,1917669101
1994,"Europe & Central Asia",8.03598092927932,857724586
1994,"Latin America & Caribbean",17.4477521314494,473328616
1994,"Middle East, North Africa, Afghanistan & Pakistan",26.2505514825961,428117445
1994,"North America",0.50982817310011,292185857
1994,"South Asia",43.8009862386806,1101305517
1994,"Sub-Saharan Africa",62.3168171554215,580801913
1995,"East Asia & Pacific",51.0875024518086,1941461685
1995,"Europe & Central Asia",7.25774274032432,859504753
1995,"Latin America & Caribbean",16.4482691417748,481309028
1995,"Middle East, North Africa, Afghanistan & Pakistan",26.3484981005942,438968860
1995,"North America",0.480080375027402,295639837
1995,"South Asia",43.4788376401114,1123515559
1995,"Sub-Saharan Africa",61.9235276711539,596382250
1996,"East Asia & Pacific",46.9852251881645,1965115289
1996,"Europe & Central Asia",7.18390861678259,861073425
1996,"Latin America & Caribbean",17.7209074340833,489235073
1996,"Middle East, North Africa, Afghanistan & Pakistan",24.3119058504608,449859387
1996,"North America",0.570179111676589,299064031
1996,"South Asia",43.2109434285301,1145998648
1996,"Sub-Saharan Africa",61.176251861791,612553970
1997,"East Asia & Pacific",46.4537954448751,1988352754
1997,"Europe & Central Asia",6.94377929755647,862335056
1997,"Latin America & Caribbean",17.5463569197854,497097004
1997,"Middle East, North Africa, Afghanistan & Pakistan",24.1195474337881,460864078
1997,"North America",0.660333826669723,302623125
1997,"South Asia",43.019090025335,1168625898
1997,"Sub-Saharan Africa",60.6381187748182,628853819
1998,"East Asia & Pacific",47.5750610615886,2010658956
1998,"Europe & Central Asia",7.12436663200569,863317613
1998,"Latin America & Caribbean",17.1859310725815,504952583
1998,"Middle East, North Africa, Afghanistan & Pakistan",24.4984158720472,472047033
1998,"North America",0.780138716163226,306069812
1998,"South Asia",42.814410046037,1191405930
1998,"Sub-Saharan Africa",60.5024723183832,645803591
1999,"East Asia & Pacific",44.1011115419115,2031108352
1999,"Europe & Central Asia",7.95406127812938,864306932
1999,"Latin America & Caribbean",17.4663967409467,512730984
1999,"Middle East, North Africa, Afghanistan & Pakistan",24.5617715726336,483430509
1999,"North America",0.680218464987074,309502410
1999,"South Asia",42.2819532885378,1214263809
1999,"Sub-Saharan Africa",60.1740787678951,663257231
2000,"East Asia & Pacific",41.1814109506998,2050309958
2000,"Europe & Central Asia",7.42098559644404,865392479
2000,"Latin America & Caribbean",15.9364471320948,520272118
2000,"Middle East, North Africa, Afghanistan & Pakistan",24.3083643900141,494850317
2000,"North America",0.660637967265769,312909691
2000,"South Asia",41.9950131483195,1237185482
2000,"Sub-Saharan Africa",59.4023740218697,681125107
2001,"East Asia & Pacific",38.3682826024074,2068788774
2001,"Europe & Central Asia",6.61503516893285,866590696
2001,"Latin America & Caribbean",15.4451721600362,527572583
2001,"Middle East, North Africa, Afghanistan & Pakistan",24.1700561077197,506478256
2001,"North America",0.840935055914922,316051677
2001,"South Asia",41.9673174246301,1260149056
2001,"Sub-Saharan Africa",58.3493453778409,699588585
2002,"East Asia & Pacific",35.466817690703,2086253802
2002,"Europe & Central Asia",5.63660867021896,868234843
2002,"Latin America & Caribbean",14.9817024124286,534691591
2002,"Middle East, North Africa, Afghanistan & Pakistan",23.3864690295669,518193093
2002,"North America",0.840852434460234,319046534
2002,"South Asia",41.8976554135763,1282584796
2002,"Sub-Saharan Africa",57.6558707819695,718662153
2003,"East Asia & Pacific",31.3112049077668,2102871813
2003,"Europe & Central Asia",5.53973421864009,870529446
2003,"Latin America & Caribbean",15.2793008971318,541643365
2003,"Middle East, North Africa, Afghanistan & Pakistan",21.5795238902934,530338988
2003,"North America",0.930980103276197,321812780
2003,"South Asia",41.5065934211458,1304347790
2003,"Sub-Saharan Africa",56.5147209531306,738316131
2004,"East Asia & Pacific",27.5804736995387,2118853066
2004,"Europe & Central Asia",4.43153831067902,873069464
2004,"Latin America & Caribbean",14.1231173299267,548455563
2004,"Middle East, North Africa, Afghanistan & Pakistan",19.0973345772211,543086512
2004,"North America",1.02112467598417,324806660
2004,"South Asia",40.9607933577543,1325950587
2004,"Sub-Saharan Africa",53.7591612528927,758653144
